Customer_Speaking,Till_Response
"Can you get me large 20 Chilli Bites, Barbeque Sauce, Cocacola Classic","Sure! You've ordered 20 Chilli Bites, Barbeque Sauce, Cocacola Classic."
"I'd like to order Classic Double Melt, Chilli Jam Halumi, small 9 Chilli Bites","Sure! You've ordered Classic Double Melt, Chilli Jam Halumi, 9 Chilli Bites."
"Can you get me PB Whopper, Small Fries","Sure! You've ordered PB Whopper, Small Fries."
"Can you get me Bacon Loaded Fries, Cocacola Zero","Sure! You've ordered Bacon Loaded Fries, Cocacola Zero."
"I'd like to order medium Diet Cocacola, 20 Chilli Bites","Sure! You've ordered Diet Cocacola, 20 Chilli Bites."
"I'd like to order Sprite Zero, Chilli Jam Whopper, Diet Cocacola","Sure! You've ordered Sprite Zero, Chilli Jam Whopper, Diet Cocacola."
"I need Hot Chilli, Diet Cocacola","Sure! You've ordered Hot Chilli, Diet Cocacola."
"I need Chimichuri Loaded Fries, Steakhouse Chicken, 9 Chilli Bites","Sure! You've ordered Chimichuri Loaded Fries, Steakhouse Chicken, 9 Chilli Bites."
I'd like to order large Whopper,Sure! You've ordered Whopper.
"Can you get me Bacon Double X L, medium Sprite Zero, small Barbeque Sauce","Sure! You've ordered Bacon Double X L, Sprite Zero, Barbeque Sauce."
"I need Small Fries, Large Fries","Sure! You've ordered Small Fries, Large Fries."
Can you get me Small Fries,Sure! You've ordered Small Fries.
"Could I have medium 4 Nuggets, Diet Cocacola, 9 Nuggets","Sure! You've ordered 4 Nuggets, Diet Cocacola, 9 Nuggets."
"Could I have Cheese Loaded Fries, Bacon Double","Sure! You've ordered Cheese Loaded Fries, Bacon Double."
"Can you get me Sprite Zero, 9 Chilli Bites","Sure! You've ordered Sprite Zero, 9 Chilli Bites."
"Can I get medium Cheese Loaded Fries, Bacon Loaded Fries","Sure! You've ordered Cheese Loaded Fries, Bacon Loaded Fries."
"Please give me large 4 Nuggets, 4 Chilli Bites, large 20 Chilli Bites","Sure! You've ordered 4 Nuggets, 4 Chilli Bites, 20 Chilli Bites."
"Can you get me small Bacon Double, Chimichuri Chicken, Fanta","Sure! You've ordered Bacon Double, Chimichuri Chicken, Fanta."
"Can I get 9 Chilli Bites, medium 5 Doritos, Whopper","Sure! You've ordered 9 Chilli Bites, 5 Doritos, Whopper."
Can I get small Diet Cocacola,Sure! You've ordered Diet Cocacola.
"Could I have small Small Fries, 5 Doritos","Sure! You've ordered Small Fries, 5 Doritos."
"I'd like to order large 20 Chilli Bites, Sprite Zero","Sure! You've ordered 20 Chilli Bites, Sprite Zero."
Could I have large Fanta,Sure! You've ordered Fanta.
"Can I get large Cheese Burger, Steakhouse Angus","Sure! You've ordered Cheese Burger, Steakhouse Angus."
"Can you get me Sprite Zero, Large Fries","Sure! You've ordered Sprite Zero, Large Fries."
Can you get me Cheese Burger,Sure! You've ordered Cheese Burger.
"Can you get me Ham Burger, Fries","Sure! You've ordered Ham Burger, Fries."
"I'd like to order large PB Whopper, Chimichuri Chicken","Sure! You've ordered PB Whopper, Chimichuri Chicken."
"I'd like to order Bacon Double, 4 Chilli Bites, large Cheese Burger","Sure! You've ordered Bacon Double, 4 Chilli Bites, Cheese Burger."
"I want small Chimichuri Chicken, small Chilli Jam Whopper, 9 Nuggets","Sure! You've ordered Chimichuri Chicken, Chilli Jam Whopper, 9 Nuggets."
"I need 4 Nuggets, 4 Chilli Bites, Bacon Loaded Fries","Sure! You've ordered 4 Nuggets, 4 Chilli Bites, Bacon Loaded Fries."
"Please give me Cocacola Classic, 4 Chilli Bites, Whopper","Sure! You've ordered Cocacola Classic, 4 Chilli Bites, Whopper."
Can you get me PB Whopper,Sure! You've ordered PB Whopper.
Could I have Water,Sure! You've ordered Water.
"Please give me Hot Chilli, small Chicken Royale","Sure! You've ordered Hot Chilli, Chicken Royale."
Could I have Chimichuri Loaded Fries,Sure! You've ordered Chimichuri Loaded Fries.
"Please give me Chicken Royale, Bacon Double","Sure! You've ordered Chicken Royale, Bacon Double."
"Can I get Bacon Loaded Fries, Steakhouse Chicken","Sure! You've ordered Bacon Loaded Fries, Steakhouse Chicken."
"Could I have Sprite Zero, 9 Chilli Bites, Steakhouse Angus","Sure! You've ordered Sprite Zero, 9 Chilli Bites, Steakhouse Angus."
Please give me Spicy Mayo,Sure! You've ordered Spicy Mayo.
"Please give me small Ham Burger, Chimichuri Loaded Fries","Sure! You've ordered Ham Burger, Chimichuri Loaded Fries."
"Can you get me 20 Doritos, 20 Chilli Bites","Sure! You've ordered 20 Doritos, 20 Chilli Bites."
I'll have Cocacola Classic,Sure! You've ordered Cocacola Classic.
"Can I get Sprite Zero, Spicy Mayo, large 20 Chilli Bites","Sure! You've ordered Sprite Zero, Spicy Mayo, 20 Chilli Bites."
"I'll have large Bacon Loaded Fries, 4 Nuggets","Sure! You've ordered Bacon Loaded Fries, 4 Nuggets."
Can you get me Classic Double Melt,Sure! You've ordered Classic Double Melt.
"Can I get 4 Nuggets, Vegan Royale, medium 6 Nuggets","Sure! You've ordered 4 Nuggets, Vegan Royale, 6 Nuggets."
"Could I have Cheese Burger, medium Chimichuri Chicken, Bacon Stacker","Sure! You've ordered Cheese Burger, Chimichuri Chicken, Bacon Stacker."
"Can I get medium Tea, Bacon Double","Sure! You've ordered Tea, Bacon Double."
"I'll have 20 Nuggets, Chicken Royale, Steakhouse Angus","Sure! You've ordered 20 Nuggets, Chicken Royale, Steakhouse Angus."
I'll have Cocacola Zero,Sure! You've ordered Cocacola Zero.
Can I get 9 Nuggets,Sure! You've ordered 9 Nuggets.
Can I get medium Cocacola Zero,Sure! You've ordered Cocacola Zero.
"I want large PB Whopper, large Water","Sure! You've ordered PB Whopper, Water."
Can I get Cocacola Zero,Sure! You've ordered Cocacola Zero.
"Can you get me 20 Doritos, Water","Sure! You've ordered 20 Doritos, Water."
"Could I have PB Whopper, Small Fries, Vegan Royale","Sure! You've ordered PB Whopper, Small Fries, Vegan Royale."
"Please give me Barbeque Sauce, 9 Nuggets","Sure! You've ordered Barbeque Sauce, 9 Nuggets."
"I'd like to order Small Fries, small Chicken Royale","Sure! You've ordered Small Fries, Chicken Royale."
"Can you get me 20 Chilli Bites, Cocacola Classic","Sure! You've ordered 20 Chilli Bites, Cocacola Classic."
"I'll have Fries, Chimichuri Angus, small Bacon Double","Sure! You've ordered Fries, Chimichuri Angus, Bacon Double."
"I want Chicken Royale, 6 Nuggets, Barbeque Sauce","Sure! You've ordered Chicken Royale, 6 Nuggets, Barbeque Sauce."
"I'd like to order large 4 Chilli Bites, 9 Chilli Bites","Sure! You've ordered 4 Chilli Bites, 9 Chilli Bites."
"Could I have medium Spicy Mayo, Cheese Burger, Diet Cocacola","Sure! You've ordered Spicy Mayo, Cheese Burger, Diet Cocacola."
"I need Chilli Jam Whopper, medium Hot Chilli","Sure! You've ordered Chilli Jam Whopper, Hot Chilli."
"I'd like to order Diet Cocacola, 9 Nuggets","Sure! You've ordered Diet Cocacola, 9 Nuggets."
"I need 9 Chilli Bites, Spicy Mayo","Sure! You've ordered 9 Chilli Bites, Spicy Mayo."
"Can I get medium Cheese Loaded Fries, Cheese Burger","Sure! You've ordered Cheese Loaded Fries, Cheese Burger."
Could I have 6 Doritos,Sure! You've ordered 6 Doritos.
Please give me Chilli Jam Whopper,Sure! You've ordered Chilli Jam Whopper.
I'd like to order Chimichuri Loaded Fries,Sure! You've ordered Chimichuri Loaded Fries.
"Can I get Cheese Loaded Fries, large Cheese Burger","Sure! You've ordered Cheese Loaded Fries, Cheese Burger."
"I need Chimichuri Chicken, Bacon Double X L","Sure! You've ordered Chimichuri Chicken, Bacon Double X L."
"I'd like to order Bacon Double X L, Small Fries, medium Diet Cocacola","Sure! You've ordered Bacon Double X L, Small Fries, Diet Cocacola."
"I'd like to order Small Fries, Cheese Loaded Fries, large Spicy Mayo","Sure! You've ordered Small Fries, Cheese Loaded Fries, Spicy Mayo."
"Can you get me small Chimichuri Loaded Fries, 6 Nuggets, 6 Chilli Bites","Sure! You've ordered Chimichuri Loaded Fries, 6 Nuggets, 6 Chilli Bites."
"Could I have Classic Double Melt, Hot Chilli","Sure! You've ordered Classic Double Melt, Hot Chilli."
Can you get me 9 Nuggets,Sure! You've ordered 9 Nuggets.
"I'd like to order Diet Cocacola, large Spicy Mayo","Sure! You've ordered Diet Cocacola, Spicy Mayo."
"Could I have 20 Chilli Bites, Chimichuri Chicken, 4 Nuggets","Sure! You've ordered 20 Chilli Bites, Chimichuri Chicken, 4 Nuggets."
"Please give me Fries, Fanta, Spicy Mayo","Sure! You've ordered Fries, Fanta, Spicy Mayo."
"Could I have Cocacola Classic, large Large Fries, Cheese Loaded Fries","Sure! You've ordered Cocacola Classic, Large Fries, Cheese Loaded Fries."
"I'd like to order small Tea, medium Cheese Burger","Sure! You've ordered Tea, Cheese Burger."
Can I get 6 Chilli Bites,Sure! You've ordered 6 Chilli Bites.
"Please give me Cocacola Zero, small Chimichuri Angus, Sprite Zero","Sure! You've ordered Cocacola Zero, Chimichuri Angus, Sprite Zero."
"I'll have large PB Whopper, Steakhouse Chicken","Sure! You've ordered PB Whopper, Steakhouse Chicken."
Please give me Cheese Burger,Sure! You've ordered Cheese Burger.
Can I get 6 Chilli Bites,Sure! You've ordered 6 Chilli Bites.
"I'd like to order large 6 Chilli Bites, Hot Chilli","Sure! You've ordered 6 Chilli Bites, Hot Chilli."
"Can you get me 6 Chilli Bites, Bacon Stacker","Sure! You've ordered 6 Chilli Bites, Bacon Stacker."
I want medium Bacon Double,Sure! You've ordered Bacon Double.
"I need large 20 Chilli Bites, medium Tea, 4 Nuggets","Sure! You've ordered 20 Chilli Bites, Tea, 4 Nuggets."
"Can I get Chicken Royale, small 6 Nuggets","Sure! You've ordered Chicken Royale, 6 Nuggets."
"I'd like to order 4 Chilli Bites, 20 Doritos","Sure! You've ordered 4 Chilli Bites, 20 Doritos."
Can I get small Bacon Loaded Fries,Sure! You've ordered Bacon Loaded Fries.
Can I get 9 Chilli Bites,Sure! You've ordered 9 Chilli Bites.
Can I get Cheese Burger,Sure! You've ordered Cheese Burger.
"I'll have Ham Burger, Classic Double Melt","Sure! You've ordered Ham Burger, Classic Double Melt."
"Please give me 6 Doritos, Sprite Zero","Sure! You've ordered 6 Doritos, Sprite Zero."
"Could I have medium 9 Doritos, small Ham Burger, Barbeque Sauce","Sure! You've ordered 9 Doritos, Ham Burger, Barbeque Sauce."
"I want large Fanta, large Bacon Stacker","Sure! You've ordered Fanta, Bacon Stacker."
Could I have large 3 Chilli Bites,Sure! You've ordered 3 Chilli Bites.
"I want Chicken Royale, small Bacon Loaded Fries, Chimichuri Chicken","Sure! You've ordered Chicken Royale, Bacon Loaded Fries, Chimichuri Chicken."
"Can I get large 6 Nuggets, Chimichuri Angus","Sure! You've ordered 6 Nuggets, Chimichuri Angus."
"I'd like to order 20 Chilli Bites, Cocacola Classic","Sure! You've ordered 20 Chilli Bites, Cocacola Classic."
"I'd like to order small 20 Nuggets, 5 Doritos, Large Fries","Sure! You've ordered 20 Nuggets, 5 Doritos, Large Fries."
I'd like to order large 5 Doritos,Sure! You've ordered 5 Doritos.
"I need Chilli Jam Halumi, small Small Fries","Sure! You've ordered Chilli Jam Halumi, Small Fries."
"Can I get PB Whopper, medium 9 Chilli Bites","Sure! You've ordered PB Whopper, 9 Chilli Bites."
"Can I get large Hot Chilli, Chimichuri Angus","Sure! You've ordered Hot Chilli, Chimichuri Angus."
"I want Chicken Royale, small Chimichuri Chicken, Hot Chilli","Sure! You've ordered Chicken Royale, Chimichuri Chicken, Hot Chilli."
"I need Diet Cocacola, 3 Chilli Bites, Chimichuri Angus","Sure! You've ordered Diet Cocacola, 3 Chilli Bites, Chimichuri Angus."
"Can you get me Bacon Loaded Fries, 6 Nuggets","Sure! You've ordered Bacon Loaded Fries, 6 Nuggets."
I'd like to order small Water,Sure! You've ordered Water.
"Please give me Cocacola Classic, Cocacola Zero, Bacon Stacker","Sure! You've ordered Cocacola Classic, Cocacola Zero, Bacon Stacker."
Please give me large Fries,Sure! You've ordered Fries.
"I need 20 Nuggets, Bacon Double X L, large Tea","Sure! You've ordered 20 Nuggets, Bacon Double X L, Tea."
"Could I have Bacon Double X L, Ham Burger, Cheese Loaded Fries","Sure! You've ordered Bacon Double X L, Ham Burger, Cheese Loaded Fries."
I need 6 Nuggets,Sure! You've ordered 6 Nuggets.
I need 5 Doritos,Sure! You've ordered 5 Doritos.
"I'd like to order PB Whopper, Whopper","Sure! You've ordered PB Whopper, Whopper."
"I'd like to order Fanta, medium Diet Cocacola","Sure! You've ordered Fanta, Diet Cocacola."
I need 20 Chilli Bites,Sure! You've ordered 20 Chilli Bites.
"I need large PB Whopper, Steakhouse Chicken, 6 Chilli Bites","Sure! You've ordered PB Whopper, Steakhouse Chicken, 6 Chilli Bites."
"Please give me 3 Chilli Bites, 6 Nuggets","Sure! You've ordered 3 Chilli Bites, 6 Nuggets."
Please give me large Ham Burger,Sure! You've ordered Ham Burger.
Can you get me small Small Fries,Sure! You've ordered Small Fries.
"Please give me 20 Doritos, Fries, large Chilli Jam Halumi","Sure! You've ordered 20 Doritos, Fries, Chilli Jam Halumi."
"I'd like to order Steakhouse Angus, small Chimichuri Loaded Fries","Sure! You've ordered Steakhouse Angus, Chimichuri Loaded Fries."
Could I have 9 Nuggets,Sure! You've ordered 9 Nuggets.
"I want Cocacola Classic, Vegan Royale","Sure! You've ordered Cocacola Classic, Vegan Royale."
"Can you get me 9 Chilli Bites, large Mayo","Sure! You've ordered 9 Chilli Bites, Mayo."
"I'll have Cocacola Zero, Chimichuri Angus, large Bacon Loaded Fries","Sure! You've ordered Cocacola Zero, Chimichuri Angus, Bacon Loaded Fries."
"I'll have Chilli Jam Halumi, small 9 Nuggets, Whopper","Sure! You've ordered Chilli Jam Halumi, 9 Nuggets, Whopper."
"I'd like to order Cheese Burger, Steakhouse Angus, Hot Chilli","Sure! You've ordered Cheese Burger, Steakhouse Angus, Hot Chilli."
"Please give me Steakhouse Angus, large 4 Chilli Bites","Sure! You've ordered Steakhouse Angus, 4 Chilli Bites."
"Can I get 6 Doritos, Chimichuri Angus","Sure! You've ordered 6 Doritos, Chimichuri Angus."
"Could I have 9 Chilli Bites, Barbeque Sauce, Steakhouse Angus","Sure! You've ordered 9 Chilli Bites, Barbeque Sauce, Steakhouse Angus."
"Please give me large 5 Doritos, 6 Doritos","Sure! You've ordered 5 Doritos, 6 Doritos."
I need Large Fries,Sure! You've ordered Large Fries.
"I need Chimichuri Chicken, Whopper","Sure! You've ordered Chimichuri Chicken, Whopper."
"Can you get me medium Whopper, large 6 Chilli Bites","Sure! You've ordered Whopper, 6 Chilli Bites."
"I want medium Sprite Zero, Ham Burger, Bacon Loaded Fries","Sure! You've ordered Sprite Zero, Ham Burger, Bacon Loaded Fries."
Can I get Cocacola Zero,Sure! You've ordered Cocacola Zero.
"Please give me medium Bacon Loaded Fries, PB Whopper","Sure! You've ordered Bacon Loaded Fries, PB Whopper."
"I'd like to order Chilli Jam Whopper, Water, Chicken Royale","Sure! You've ordered Chilli Jam Whopper, Water, Chicken Royale."
I want medium 3 Chilli Bites,Sure! You've ordered 3 Chilli Bites.
"Could I have Steakhouse Chicken, Cocacola Classic","Sure! You've ordered Steakhouse Chicken, Cocacola Classic."
"Can I get small Bacon Double, PB Whopper","Sure! You've ordered Bacon Double, PB Whopper."
Can you get me Chimichuri Loaded Fries,Sure! You've ordered Chimichuri Loaded Fries.
"Could I have Cocacola Zero, Cocacola Classic, Classic Double Melt","Sure! You've ordered Cocacola Zero, Cocacola Classic, Classic Double Melt."
"Can I get Diet Cocacola, 20 Doritos","Sure! You've ordered Diet Cocacola, 20 Doritos."
I'd like to order Chilli Jam Halumi,Sure! You've ordered Chilli Jam Halumi.
"Could I have 20 Nuggets, 5 Doritos","Sure! You've ordered 20 Nuggets, 5 Doritos."
I'll have Fanta,Sure! You've ordered Fanta.
"Could I have large 4 Nuggets, 3 Chilli Bites","Sure! You've ordered 4 Nuggets, 3 Chilli Bites."
"Please give me Chilli Jam Whopper, 9 Doritos, Chilli Jam Halumi","Sure! You've ordered Chilli Jam Whopper, 9 Doritos, Chilli Jam Halumi."
I'd like to order Spicy Mayo,Sure! You've ordered Spicy Mayo.
Can you get me medium 20 Doritos,Sure! You've ordered 20 Doritos.
"I need large Bacon Stacker, Cheese Loaded Fries, Chimichuri Angus","Sure! You've ordered Bacon Stacker, Cheese Loaded Fries, Chimichuri Angus."
I need Bacon Loaded Fries,Sure! You've ordered Bacon Loaded Fries.
"Can you get me 4 Chilli Bites, small Chilli Jam Whopper","Sure! You've ordered 4 Chilli Bites, Chilli Jam Whopper."
"Please give me Whopper, 6 Chilli Bites, 4 Nuggets","Sure! You've ordered Whopper, 6 Chilli Bites, 4 Nuggets."
